"","x"
"TCGA-BR-4368",29.3947368421053
"TCGA-D5-6541",2.02631578947368
"TCGA-F4-6805",1.42105263157895
"TCGA-BR-A4IU",0.447368421052632
"TCGA-A6-6782",2.86842105263158
"TCGA-BR-6803",0.210526315789474
"TCGA-AA-3713",24.5263157894737
"TCGA-EI-6883",2.07894736842105
"TCGA-F1-6177",30.1052631578947
"TCGA-AA-3831",2.39473684210526
"TCGA-D7-6518",1.28947368421053
"TCGA-AA-A01C",1.68421052631579
"TCGA-HU-A4GJ",0.0526315789473684
"TCGA-AZ-6598",56
"TCGA-SW-A7EA",13.7631578947368
"TCGA-RD-A8N4",0.0263157894736842
"TCGA-AA-3678",1.55263157894737
"TCGA-D5-5537",1.97368421052632
"TCGA-BR-8296",1.18421052631579
"TCGA-F1-6874",20.7631578947368
"TCGA-CK-6748",1.15789473684211
"TCGA-VQ-A922",2.92105263157895
"TCGA-BR-8367",1.26315789473684
"TCGA-AG-A00Y",4.73684210526316
"TCGA-KB-A6F7",2.31578947368421
"TCGA-MX-A5UG",0.684210526315789
"TCGA-BR-4366",2.81578947368421
"TCGA-G4-6303",1.89473684210526
"TCGA-AA-3972",1.71052631578947
"TCGA-A6-3807",2.05263157894737
"TCGA-HU-A4GY",0.947368421052632
"TCGA-IN-7808",2.31578947368421
"TCGA-AA-3502",3.86842105263158
"TCGA-AA-3561",0.394736842105263
"TCGA-DC-6158",1.71052631578947
"TCGA-AA-A02H",1.57894736842105
"TCGA-CM-6165",2.15789473684211
"TCGA-BR-6455",1.71052631578947
"TCGA-BR-8592",0.605263157894737
"TCGA-VQ-A94R",6.28947368421053
"TCGA-NH-A6GB",3.23684210526316
"TCGA-AA-A02K",2.92105263157895
"TCGA-AA-3673",1.55263157894737
"TCGA-AA-A00O",1.84210526315789
"TCGA-AA-3966",58.6315789473684
"TCGA-F4-6703",9.57894736842105
"TCGA-F4-6459",2.65789473684211
"TCGA-CM-4748",1.31578947368421
"TCGA-BR-6705",1.60526315789474
"TCGA-AG-3890",2.07894736842105
"TCGA-D7-6519",1.05263157894737
"TCGA-AZ-6599",4.94736842105263
"TCGA-AG-3731",3.02631578947368
"TCGA-AA-3492",48.1842105263158
"TCGA-AA-3679",1.39473684210526
